customer_id,age,income,spending_score,annual_purchases,avg_order_value,website_visits_month,app_sessions_month,cart_abandon_rate,discount_usage_rate,loyalty_points,tenure_years,support_tickets,email_open_rate,social_engagement,return_rate,wishlist_items,referrals_made,premium_category_pct,weekend_purchase_pct,mobile_purchase_pct,gender,region,preferred_channel,cluster,persona_name
CUST100696,36,90946.0,26.0,7,124.12,3,3,0.441,0.053,1380,6.12,0.0,0.485,0.045,0.044,1,1,0.467,0.371,0.211,Male,East,Mobile App,2,Affluent Conservatives
CUST100667,34,90136.0,81.1,28,153.64,22,33,0.159,0.199,4354,3.01,2.0,0.594,0.6,0.116,9,2,0.742,0.574,0.796,Male,South,In-Store,3,High-Value Trendsetters
CUST100063,26,31505.0,81.6,12,33.76,29,17,0.343,0.838,1908,1.91,5.0,0.447,0.829,0.343,11,1,0.134,0.644,0.808,Male,North,Website,1,Budget-Conscious Explorers
CUST100533,39,86873.0,22.4,5,116.84,4,0,0.49,0.042,1561,6.12,0.0,0.345,0.07,0.038,2,1,0.536,0.199,0.085,Female,West,Mobile App,2,Affluent Conservatives
CUST100066,32,92037.0,10.7,5,184.32,2,2,0.363,0.193,1381,6.64,2.0,0.366,0.159,0.04,2,1,0.513,0.369,0.226,Female,North,Mobile App,2,Affluent Conservatives
CUST100621,46,99227.0,20.2,11,88.26,2,2,0.776,0.19,1587,5.41,0.0,0.267,0.061,0.095,2,1,0.716,0.134,0.205,Female,West,Mobile App,2,Affluent Conservatives
CUST100346,33,88873.0,27.5,8,127.39,4,2,0.496,0.131,1759,7.94,2.0,0.417,0.027,0.064,1,0,0.924,0.275,0.126,Female,North,Mobile App,2,Affluent Conservatives
CUST100490,37,22179.0,17.3,5,29.28,3,1,0.619,0.511,384,7.05,4.0,0.132,0.089,0.129,1,0,0.069,0.176,0.216,Female,Central,Website,0,Conservative Minimizers
CUST100760,39,101095.0,25.2,6,190.97,2,1,0.503,0.044,1387,7.58,2.0,0.309,0.097,0.0,2,1,0.435,0.29,0.174,Male,East,Website,2,Affluent Conservatives
CUST100456,31,95626.0,16.0,8,80.99,3,2,0.646,0.134,1393,10.08,1.0,0.484,0.048,0.018,3,0,0.686,0.31,0.307,Female,North,Website,2,Affluent Conservatives
